timestamp,ax,ay,az
1630680031663,-0.673867,-0.290482,-0.691496
1630680031673,-0.670024,-0.287371,-0.693753
1630680031682,-0.6685599999999999,-0.284138,-0.694668
1630680031692,-0.670268,-0.279624,-0.694546
1630680031701,-0.669597,-0.277611,-0.696498
1630680031711,-0.672586,-0.28011199999999997,-0.697535
1630680031721,-0.674172,-0.282369,-0.697718
1630680031730,-0.673501,-0.283955,-0.700341
1630680031740,-0.669902,-0.28304,-0.701744
1630680031749,-0.669292,-0.284199,-0.697901
1630680031759,-0.6682549999999999,-0.28163699999999997,-0.6954
1630680031769,-0.667279,-0.277733,-0.693936
1630680031778,-0.6673399999999999,-0.271694,-0.692777
1630680031788,-0.667462,-0.266875,-0.6907639999999999
1630680031797,-0.668438,-0.25986,-0.689666
1630680031807,-0.667096,-0.254553,-0.689666
1630680031817,-0.668621,-0.249246,-0.690215
1630680031826,-0.669109,-0.24705,-0.691496
1630680031836,-0.670146,-0.247111,-0.690947
1630680031845,-0.670878,-0.24631799999999998,-0.686677
1630680031855,-0.673074,-0.24339,-0.684481
1630680031865,-0.673928,-0.239791,-0.682407
1630680031874,-0.673196,-0.236375,-0.680943
1630680031884,-0.670634,-0.23424,-0.683566
1630680031893,-0.671427,-0.232837,-0.682285
1630680031903,-0.672281,-0.231922,-0.680516
1630680031913,-0.673196,-0.23064099999999998,-0.678137
1630680031922,-0.673745,-0.229604,-0.675941
1630680031932,-0.678808,-0.228567,-0.673379
1630680031941,-0.6803939999999999,-0.22447999999999999,-0.675758
1630680031951,-0.6813089999999999,-0.22478499999999998,-0.674172
1630680031961,-0.683322,-0.224541,-0.670451
1630678967008,-0.815448,0.137738,-0.553453
1630678967017,-0.818986,0.13419999999999999,-0.555893
1630678967027,-0.820023,0.126758,-0.562237
1630678967036,-0.820084,0.120902,-0.5635789999999999
1630678967046,-0.818925,0.115656,-0.5638839999999999
1630678967056,-0.820206,0.108702,-0.560651
1630678967065,-0.819352,0.10577399999999999,-0.560895
1630678967075,-0.820816,0.104493,-0.559004
1630678967084,-0.819474,0.105652,-0.557113
1630678967094,-0.819413,0.103944,-0.554856
1630678967104,-0.820328,0.105225,-0.55632
1630678967113,-0.821426,0.104188,-0.558699
1630678967123,-0.820816,0.104615,-0.557845
1630678967132,-0.8221579999999999,0.104249,-0.55571
1630678967142,-0.821243,0.108092,-0.552538
1630678967152,-0.821975,0.110166,-0.5462549999999999
1630678967161,-0.820938,0.115412,-0.5425949999999999
1630678967171,-0.820389,0.115839,-0.540582
1630678967180,-0.820755,0.119865,-0.540826
1630678967190,-0.821975,0.11840099999999999,-0.540033
1630678967200,-0.821609,0.124135,-0.539484
1630678967209,-0.82289,0.12456199999999999,-0.538142
1630678967219,-0.821792,0.125599,-0.53436
1630678967228,-0.819535,0.123891,-0.530395
1630678967238,-0.819779,0.123098,-0.527711
1630678967248,-0.819108,0.125172,-0.522099
1630678967257,-0.819047,0.129686,-0.518134
1630678967267,-0.818132,0.132614,-0.513132
1630678967276,-0.817827,0.135603,-0.509289
1630678967286,-0.818803,0.138531,-0.508435
1630678967296,-0.817949,0.143899,-0.508008
1630678967305,-0.820267,0.145424,-0.506239
1630678967315,-0.823195,0.147986,-0.504897
1630678967324,-0.825696,0.14896199999999998,-0.50203
1630678967334,-0.82838,0.149084,-0.500383
1630678967344,-0.830881,0.146644,-0.500444
1630678967353,-0.8364929999999999,0.144692,-0.501115
1630678967363,-0.837042,0.139995,-0.503067
1630678967372,-0.839177,0.140727,-0.503555
1630678967382,-0.84363,0.142557,-0.501481
1630678967392,-0.847473,0.145485,-0.49898
1630678967401,-0.847595,0.143838,-0.496601
1630678967411,-0.850401,0.144326,-0.49776
1630678967420,-0.8565619999999999,0.143045,-0.498736
1630678967430,-0.860405,0.14036099999999999,-0.503616
1630678967440,-0.863699,0.138653,-0.504897
1630678967449,-0.86803,0.143838,-0.502213
1630678967459,-0.876082,0.152744,-0.493124
1630678967468,-0.865651,0.149816,-0.48897599999999997
1630678967478,-0.867115,0.151341,-0.490257
1630678967488,-0.8702259999999999,0.146766,-0.495137
1630678967497,-0.867054,0.161772,-0.499041
1630678967507,-0.871019,0.145058,-0.495076
1630678967516,-0.8623569999999999,0.139019,-0.504287
1630678967526,-0.875167,0.137189,-0.49263599999999996
1630678967536,-0.861015,0.132187,-0.486902
1630678967545,-0.854793,0.127917,-0.478301
1630678967555,-0.862784,0.134261,-0.485987
1630678967564,-0.864309,0.133163,-0.502335
1630678967574,-0.862174,0.132065,-0.505507
1630678967584,-0.8601,0.129503,-0.502274
1630678967593,-0.864431,0.131455,-0.497211
1630678967603,-0.864248,0.14249599999999998,-0.494039
1630678967612,-0.863333,0.149328,-0.494222
1630678967622,-0.863638,0.15792899999999999,-0.494039
1630678967632,-0.863394,0.164212,-0.490257
1630678967641,-0.857904,0.16652999999999998,-0.483242
1630678967651,-0.854,0.168482,-0.477325
1630678967660,-0.85034,0.167201,-0.47641
1630678967670,-0.849486,0.17025099999999999,-0.47207899999999997
1630678967680,-0.846924,0.177754,-0.470737
1630678967689,-0.843142,0.17934,-0.46707699999999996
1630678967699,-0.840336,0.17976699999999998,-0.462746
1630678967708,-0.842044,0.178303,-0.457134
1630678967718,-0.842654,0.179279,-0.455792
1630678967728,-0.840946,0.176595,-0.45688999999999996
1630678967737,-0.84119,0.172508,-0.456036
1630678967747,-0.842776,0.17812,-0.454877
1630678967756,-0.843813,0.183854,-0.455426
1630678967766,-0.846253,0.18727,-0.455731
1630678967776,-0.847778,0.189161,-0.458171
1630678967785,-0.84912,0.188856,-0.454877
1630678967795,-0.850096,0.188612,-0.45139999999999997
1630678967804,-0.852658,0.185928,-0.451278
1630678967814,-0.856806,0.186965,-0.454633
1630678967824,-0.8593069999999999,0.188795,-0.458171
1630678967833,-0.863028,0.186111,-0.462075
1630678967843,-0.86803,0.17568,-0.466223
1630678967852,-0.8732759999999999,0.168238,-0.46768699999999996
1630678967862,-0.877912,0.165188,-0.46799199999999996
1630678967872,-0.879254,0.164212,-0.47085899999999997
1630678967881,-0.8790709999999999,0.164029,-0.475556
1630678967891,-0.878522,0.162321,-0.480436
1630678967900,-0.878339,0.157624,-0.483059
1630678967910,-0.878583,0.153964,-0.485377
1630678967920,-0.878705,0.149206,-0.483608
1630678967929,-0.8787659999999999,0.150853,-0.483852
1630678967939,-0.877302,0.153964,-0.48501099999999997
1630678967948,-0.874862,0.157258,-0.483303
1630678967958,-0.871202,0.159576,-0.48251
1630678967968,-0.868518,0.160491,-0.482083
1630678967977,-0.8651019999999999,0.161345,-0.483242
1630678967987,-0.863394,0.160308,-0.48318099999999997
1630678967996,-0.861076,0.162809,-0.481107
1630678968006,-0.858331,0.167323,-0.478911
1630678968016,-0.856196,0.171837,-0.476105
1630678968025,-0.852414,0.17360599999999998,-0.475678
1630678968035,-0.847351,0.174033,-0.474946
1630678968044,-0.847595,0.17507,-0.471713
