timestamp,is_blink
1630678969899,1
1630678971134,1
1630678971744,1
1630678973860,1
1630678974360,1
1630678975614,1
1630678975802,1
1630678978074,1
1630678980157,1
1630678980657,1
1630678980926,1
1630678983222,1
1630678984869,1
1630678985510,1
1630678985729,1
1630678986935,1
1630678989992,1
1630678990885,1
1630678991103,1
1630678991962,1
1630678992353,1
1630678994189,1
1630678995348,1
1630678996506,1
1630678996853,1
1630678998185,1
1630678998769,1
1630678999081,1
1630678999409,1
1630679001684,1
1630679002027,1
1630679003076,1
1630679004955,1
1630679008040,1
1630679008714,1
1630679009339,1
1630679011367,1
1630679013109,1
1630679013531,1
1630679014788,1
1630679016996,1
1630679017607,1
1630679018405,1
1630679019406,1
1630679021132,1
1630679026255,1
1630679029481,1
1630679030987,1
1630679031517,1
1630679032176,1
1630679034383,1
1630679034806,1
1630679035691,1
1630679093629,1
1630679093878,1
1630679094865,1
1630679100191,1
1630679101243,1
1630679101993,1
1630679102758,1
1630679111822,1
1630679117082,1
1630679126699,1
1630679129495,1
1630679135096,1
1630679139120,1
1630679149190,1
1630679152166,1
1630679153500,1
1630679160260,1
1630679165818,1
1630679178957,1
1630679179597,1
1630679179990,1
1630679180177,1
1630679181994,1
1630679182731,1
1630679187224,1
1630679187866,1
1630679192298,1
1630679192754,1
1630679197011,1
1630679197620,1
1630679198216,1
1630679202345,1
1630679206151,1
1630679207075,1
1630679207340,1
1630679208689,1
1630679214792,1
1630679222715,1
1630679223936,1
1630679225252,1
1630679233648,1
1630679235167,1
1630679237406,1
1630679237625,1
1630679241422,1
1630679252901,1
1630679254639,1
1630679255907,1
1630679261618,1
1630679268538,1
1630679278324,1
1630679278826,1
1630679287287,1
1630679290640,1
1630679291124,1
1630679291452,1
1630679296193,1
1630679296649,1
1630679298901,1
1630679307432,1
1630679311695,1
1630679312132,1
1630679312806,1
1630679313478,1
1630679321527,1
1630679331826,1
1630679333675,1
1630679334206,1
1630679335021,1
1630679335588,1
1630679337891,1
1630679340883,1
1630679345154,1
1630679348324,1
1630679350581,1
1630679353366,1
1630679355633,1
1630679357072,1
1630679358170,1
1630679362837,1
1630679363306,1
1630679365997,1
1630679366232,1
1630679373744,1
1630679375355,1
1630679375670,1
1630679379939,1
1630679380451,1
1630679380854,1
1630679386522,1
1630679388328,1
1630679389634,1
1630679391092,1
1630679393355,1
1630679393803,1
1630679399948,1
1630679401014,1
1630679403255,1
1630679403727,1
1630679404008,1
1630679405542,1
1630679406735,1
1630679410196,1
1630679410779,1
1630679411310,1
1630679413963,1
1630679414529,1
1630679415076,1
1630679417393,1
1630679417928,1
1630679420339,1
1630679420764,1
1630679421482,1
1630679425525,1
1630679426892,1
1630679430508,1
1630679430683,1
1630679433657,1
1630679435773,1
1630679437337,1
1630679438451,1
1630679439138,1
1630679440090,1
1630679441373,1
1630679442612,1
1630679446105,1
1630679448020,1
1630679450607,1
1630679451829,1
1630679452548,1
1630679453379,1
1630679453866,1
1630679454148,1
1630679454603,1
1630679454900,1
1630679455275,1
1630679455684,1
1630679456027,1
1630679456625,1
1630679456796,1
1630679457234,1
1630679457754,1
1630679458067,1
1630679458317,1
1630679458709,1
1630679459225,1
1630679459681,1
1630679459915,1
1630679460415,1
1630679460705,1
1630679461002,1
1630679461205,1
1630679461502,1
1630679462037,1
1630679462696,1
1630679463226,1
1630679463636,1
1630679464985,1
1630679465441,1
1630679465846,1
1630679466479,1
1630679468024,1
1630679468368,1
1630679468743,1
1630679469008,1
1630679470300,1
1630679470640,1
1630679470866,1
1630679472718,1
1630679473254,1
1630679473691,1
1630679474702,1
1630679475039,1
1630679476035,1
1630679477006,1
1630679477240,1
1630679477591,1
1630679478063,1
1630679478222,1
1630679478685,1
1630679478889,1
1630679479154,1
1630679479357,1
1630679479828,1
1630679480000,1
1630679480500,1
1630679480895,1
1630679481161,1
1630679481712,1
1630679481869,1
1630679482619,1
1630679483515,1
1630679483860,1
1630679484219,1
1630679485080,1
1630679485503,1
1630679485675,1
1630679485972,1
1630679486601,1
1630679487210,1
1630679487904,1
1630679488453,1
1630679490427,1
1630679491546,1
1630679492286,1
1630679492785,1
1630679493098,1
1630679493455,1
1630679493756,1
1630679494411,1
1630679495430,1
1630679496041,1
1630679496213,1
1630679496840,1
1630679497090,1
1630679497579,1
1630679497970,1
1630679498173,1
1630679499282,1
1630679499969,1
1630679500818,1
1630679501161,1
1630679501521,1
1630679501927,1
1630679502224,1
1630679502742,1
1630679503117,1
1630679503547,1
1630679504409,1
1630679504881,1
1630679505303,1
1630679505666,1
1630679506088,1
1630679506731,1
1630679506919,1
1630679507325,1
1630679507497,1
1630679507718,1
1630679508077,1
1630679508546,1
1630679508956,1
1630679509284,1
1630679510178,1
1630679510744,1
1630679510884,1
1630679511087,1
1630679511275,1
1630679511478,1
1630679511650,1
1630679512621,1
1630679512980,1
1630679513936,1
1630679514545,1
1630679515047,1
1630679515754,1
1630679515941,1
1630679516757,1
1630679516960,1
1630679518022,1
1630679518962,1
1630679519228,1
1630679519618,1
1630679520012,1
1630679520246,1
1630679520796,1
1630679521030,1
1630679522158,1
1630679522439,1
1630679524442,1
1630679525084,1
1630679525790,1
1630679526608,1
1630679527233,1
1630679527452,1
1630679527955,1
1630679528111,1
1630679529462,1
1630679530559,1
1630679530762,1
1630679531996,1
1630679532813,1
1630679533707,1
1630679534035,1
1630679534603,1
1630679535041,1
1630679535385,1
1630679535530,1
1630679535749,1
1630679535936,1
1630679536342,1
1630679536735,1
1630679537157,1
1630679537565,1
1630679538394,1
1630679538897,1
1630679539350,1
1630679539491,1
1630679539962,1
1630679540087,1
1630679540730,1
1630679541168,1
1630679541527,1
1630679542565,1
1630679542753,1
1630679543362,1
1630679544351,1
1630679546302,1
1630679546489,1
1630679546977,1
1630679547508,1
1630679548910,1
1630679549160,1
1630679550378,1
1630679550565,1
1630679551097,1
1630679551393,1
1630679551719,1
1630679551983,1
1630679552514,1
1630679554190,1
1630679554655,1
1630679555835,1
1630679556237,1
1630679556674,1
1630679557414,1
1630679558220,1
1630679561427,1
1630679561666,1
1630679562218,1
1630679562958,1
1630679564101,1
1630679564902,1
1630679565230,1
1630679565623,1
1630679566217,1
1630679566389,1
1630679566595,1
1630679567485,1
1630679567831,1
1630679568534,1
1630679568770,1
1630679568941,1
1630679569583,1
1630679569785,1
1630679570159,1
1630679571288,1
1630679572900,1
1630679573216,1
1630679573294,1
1630679573719,1
1630679573891,1
1630679574156,1
1630679574525,1
1630679574886,1
1630679575027,1
1630679575448,1
1630679575922,1
1630679576250,1
1630679577129,1
1630679577301,1
1630679577800,1
1630679577941,1
1630679578160,1
1630679578419,1
1630679578640,1
1630679578781,1
1630679579988,1
1630679580507,1
1630679580742,1
1630679580945,1
1630679581382,1
1630679581573,1
1630679581808,1
1630679582182,1
1630679582885,1
1630679584002,1
1630679585165,1
1630679586321,1
1630679586714,1
1630679587059,1
1630679587511,1
1630679588105,1
1630679589643,1
1630679589878,1
1630679590835,1
1630679591319,1
1630679591697,1
1630679591993,1
1630679592197,1
1630679592618,1
1630679592806,1
1630679593119,1
1630679594447,1
1630679595044,1
1630679595434,1
1630679595774,1
1630679596632,1
1630679598897,1
1630679599334,1
1630679599522,1
1630679599899,1
1630679600350,1
1630679600975,1
1630679601644,1
1630679603580,1
1630679603783,1
1630679604213,1
1630679605845,1
1630679606407,1
1630679606724,1
1630679607648,1
1630679608398,1
1630679608822,1
1630679609306,1
1630679610090,1
1630679610262,1
1630679610465,1
1630679611532,1
1630679612222,1
1630679612630,1
1630679612802,1
1630679613099,1
1630679613665,1
1630679614305,1
1630679614461,1
1630679615199,1
1630679615587,1
1630679615806,1
1630679615969,1
1630679616228,1
1630679616989,1
1630679617691,1
1630679617909,1
1630679618508,1
1630679618726,1
1630679619583,1
1630679619908,1
1630679620606,1
1630679621260,1
1630679621591,1
1630679621904,1
1630679622076,1
1630679622349,1
1630679622671,1
1630679623269,1
1630679623503,1
1630679624490,1
1630679624918,1
1630679625639,1
1630679625685,1
1630679627329,1
1630679627848,1
1630679628129,1
1630679628697,1
1630679630139,1
1630679631423,1
1630679632539,1
1630679634461,1
1630679634670,1
1630679634842,1
1630679635264,1
1630679636101,1
1630679636491,1
1630679637209,1
1630679637674,1
1630679638112,1
1630679638502,1
1630679638735,1
1630679639628,1
1630679640144,1
1630679640582,1
1630679643122,1
1630679644753,1
1630679645144,1
1630679645537,1
1630679645969,1
1630679646235,1
1630679647097,1
1630679647478,1
1630679648247,1
1630679650240,1
1630679651729,1
1630679651917,1
1630679652669,1
1630679653578,1
