timestamp,duration
1630678967650,636
1630678968286,619
1630678968905,629
1630678969534,658
1630678970192,675
1630678970867,669
1630678971536,738
1630678972274,847
1630678973121,789
1630678973910,762
1630678974672,773
1630678975445,757
1630678976202,679
1630678976881,682
1630678977563,686
1630678978249,682
1630678978931,660
1630678979591,689
1630678980280,805
1630678981085,854
1630678981939,779
1630678982718,776
1630678983494,794
1630678984288,746
1630678985034,756
1630678985790,754
1630678986544,749
1630678987293,722
1630678988015,665
1630678988680,651
1630678989331,664
1630678989995,690
1630678990685,717
1630678991402,735
1630678992137,751
1630678992888,781
1630678993669,733
1630678994402,709
1630678995111,690
1630678995801,673
1630678996474,635
1630678997109,624
1630678997733,647
1630678998380,663
1630678999043,726
1630678999769,752
1630679000521,750
1630679001271,780
1630679002051,800
1630679002851,757
1630679003608,720
1630679004328,714
1630679005042,675
1630679005717,634
1630679006351,657
1630679007008,683
1630679007691,702
1630679008393,755
1630679009148,769
1630679009917,777
1630679010694,771
1630679011465,740
1630679012205,671
1630679012876,652
1630679013528,650
1630679014178,664
1630679014842,670
1630679015512,741
1630679016253,788
1630679017041,803
1630679017844,851
1630679018695,855
1630679019550,798
1630679020348,769
1630679021117,731
1630679021848,700
1630679022548,664
1630679023212,641
1630679023853,647
1630679024500,665
1630679025165,674
1630679025839,695
1630679026534,767
1630679027301,808
1630679028109,732
1630679028841,673
1630679029514,664
1630679030178,659
1630679030837,640
1630679031477,620
1630679032097,626
1630679032723,670
1630679033393,693
1630679034086,685
1630679034771,734
1630679035505,783
1630679036288,784
1630679037072,721
1630679037793,719
1630679038512,737
1630679039249,761
1630679040010,743
1630679040753,736
1630679041489,777
1630679042266,811
1630679043077,815
1630679043892,782
1630679044674,774
1630679045448,806
1630679046254,844
1630679047098,794
1630679047892,762
1630679048654,778
1630679049432,817
1630679050249,828
1630679051077,787
1630679051864,797
1630679052661,844
1630679053505,854
1630679054359,797
1630679055156,768
1630679055924,797
1630679056721,812
1630679057533,790
1630679058323,777
1630679059100,814
1630679059914,854
1630679060768,810
1630679061578,774
1630679062352,791
1630679063143,801
1630679063944,764
1630679064708,736
1630679065444,773
1630679066217,816
1630679067033,788
1630679067821,762
1630679068583,799
1630679069382,815
1630679070197,768
1630679070965,738
1630679071703,741
1630679072444,766
1630679073210,729
1630679073939,708
1630679074647,760
1630679075407,787
1630679076194,741
1630679076935,726
1630679077661,781
1630679078442,815
1630679079257,816
1630679080073,799
1630679080872,738
1630679081610,727
1630679082337,758
1630679083095,792
1630679083887,778
1630679084665,759
1630679085424,782
1630679086206,838
1630679087044,841
1630679087885,785
1630679088670,764
1630679089434,787
1630679090221,781
1630679091002,729
1630679091731,716
1630679092447,760
1630679093207,813
1630679094020,815
1630679094835,781
1630679095616,796
1630679096412,798
1630679097210,756
1630679097966,711
1630679098677,725
1630679099402,753
1630679100155,739
1630679100894,711
1630679101605,724
1630679102329,751
1630679103080,739
1630679103819,696
1630679104515,696
1630679105211,733
1630679105944,760
1630679106704,768
1630679107472,756
1630679108228,735
1630679108963,749
1630679109712,804
1630679110516,820
1630679111336,794
1630679112130,732
1630679112862,725
1630679113587,740
1630679114327,733
1630679115060,715
1630679115775,753
1630679116528,810
1630679117338,809
1630679118147,773
1630679118920,788
1630679119708,804
1630679120512,761
1630679121273,714
1630679121987,729
1630679122716,763
1630679123479,743
1630679124222,734
1630679124956,786
1630679125742,813
1630679126555,769
1630679127324,745
1630679128069,783
1630679128852,803
1630679129655,786
1630679130441,758
1630679131199,725
1630679131924,786
1630679132710,849
1630679133559,847
1630679134406,800
1630679135206,783
1630679135989,801
1630679136790,811
1630679137601,758
1630679138359,751
1630679139110,758
1630679139868,775
1630679140643,746
1630679141389,760
1630679142149,810
1630679142959,805
1630679143764,753
1630679144517,743
1630679145260,690
1630679145950,658
1630679146608,670
1630679147278,698
1630679147976,705
1630679148681,687
1630679149368,704
1630679150072,732
1630679150804,725
1630679151529,705
1630679152234,712
1630679152946,721
1630679153667,704
1630679154371,682
1630679155053,671
1630679155724,702
1630679156426,729
1630679157155,696
1630679157851,687
1630679158538,699
1630679159237,688
1630679159925,678
1630679160603,728
1630679161331,823
1630679162154,811
1630679162965,766
1630679163731,775
1630679164506,778
1630679165284,743
1630679166027,719
1630679166746,716
1630679167462,759
1630679168221,767
1630679168988,734
1630679169722,728
1630679170450,734
1630679171184,696
1630679171880,685
1630679172565,706
1630679173271,737
1630679174008,718
1630679174726,684
1630679175410,670
1630679176080,693
1630679176773,706
1630679177479,723
1630679178202,705
1630679178907,662
1630679179569,655
1630679180224,648
1630679180872,626
1630679181498,622
1630679182120,648
1630679182768,666
1630679183434,667
1630679184101,723
1630679184824,778
1630679185602,787
1630679186389,740
1630679187129,730
1630679187859,730
1630679188589,736
1630679189325,692
1630679190017,704
1630679190721,704
1630679191425,755
1630679192180,731
1630679192911,723
1630679193634,737
1630679194371,731
1630679195102,738
1630679195840,747
1630679196587,766
1630679197353,724
1630679198077,732
1630679198809,710
1630679199519,687
1630679200206,682
1630679200888,701
1630679201589,664
1630679202253,626
1630679202879,616
1630679203495,622
1630679204117,612
1630679204729,594
1630679205323,577
1630679205900,578
1630679206478,592
1630679207070,605
1630679207675,598
1630679208273,595
1630679208868,614
1630679209482,633
1630679210115,641
1630679210756,655
1630679211411,666
1630679212077,644
1630679212721,631
1630679213352,643
1630679213995,668
1630679214663,725
1630679215388,734
1630679216122,705
1630679216827,705
1630679217532,734
1630679218266,769
1630679219035,723
1630679219758,701
1630679220459,679
1630679221138,650
1630679221788,636
1630679222424,648
1630679223072,653
1630679223725,649
1630679224374,660
1630679225034,687
1630679225721,711
1630679226432,708
1630679227140,690
1630679227830,693
1630679228523,687
1630679229210,648
1630679229858,627
1630679230485,615
1630679231100,623
1630679231723,654
1630679232377,678
1630679233055,798
1630679233853,761
1630679234614,755
1630679235369,762
1630679236131,760
1630679236891,742
1630679237633,707
1630679238340,781
1630679239121,721
1630679239842,721
1630679240563,706
1630679241269,829
1630679242098,787
1630679242885,746
1630679243631,783
1630679244414,788
1630679245202,743
1630679245945,712
1630679246657,771
1630679247428,725
1630679248153,677
1630679248830,703
1630679249533,737
1630679250270,720
1630679250990,686
1630679251676,778
1630679252454,733
1630679253187,696
1630679253883,697
1630679254580,707
1630679255287,665
1630679255952,628
1630679256580,623
1630679257203,640
1630679257843,653
1630679258496,682
1630679259178,652
1630679259830,634
1630679260464,651
1630679261115,653
1630679261768,663
1630679262431,666
1630679263097,672
1630679263769,700
1630679264469,690
1630679265159,664
1630679265823,700
1630679266523,723
1630679267246,685
1630679267931,670
1630679268601,669
1630679269270,690
1630679269960,674
1630679270634,698
1630679271332,728
1630679272060,781
1630679272841,737
1630679273578,731
1630679274309,750
1630679275059,734
1630679275793,715
1630679276508,722
1630679277230,759
1630679277989,696
1630679278685,694
1630679279379,694
1630679280073,716
1630679280789,692
1630679281481,755
1630679282236,777
1630679283013,743
1630679283756,771
1630679284527,825
1630679285352,798
1630679286150,801
1630679286951,800
1630679287751,723
1630679288474,701
1630679289175,715
1630679289890,741
1630679290631,726
1630679291357,757
1630679292114,729
1630679292843,685
1630679293528,706
1630679294234,699
1630679294933,664
1630679295597,686
1630679296283,667
1630679296950,635
1630679297585,624
1630679298209,629
1630679298838,649
1630679299487,667
1630679300154,664
1630679300818,699
1630679301517,739
1630679302256,746
1630679303002,718
1630679303720,716
1630679304436,720
1630679305156,708
1630679305864,677
1630679306541,674
1630679307215,687
1630679307902,728
1630679308630,710
1630679309340,702
1630679310042,739
1630679310781,761
1630679311542,723
1630679312265,719
1630679312984,720
1630679313704,691
1630679314395,666
1630679315061,675
1630679315736,683
1630679316419,693
1630679317112,664
1630679317776,659
1630679318435,679
1630679319114,709
1630679319823,685
1630679320508,683
1630679321191,696
1630679321887,693
1630679322580,667
1630679323247,663
1630679323910,678
1630679324588,659
1630679325247,626
1630679325873,627
1630679326500,644
1630679327144,643
1630679327787,624
1630679328411,618
1630679329029,624
1630679329653,622
1630679330275,601
1630679330876,595
1630679331471,609
1630679332080,638
1630679332718,636
1630679333354,643
1630679333997,682
1630679334679,713
1630679335392,683
1630679336075,663
1630679336738,672
1630679337410,684
1630679338094,671
1630679338765,649
1630679339414,659
1630679340073,666
1630679340739,655
1630679341394,653
1630679342047,686
1630679342733,675
1630679343408,647
1630679344055,647
1630679344702,681
1630679345383,683
1630679346066,657
1630679346723,639
1630679347362,641
1630679348003,654
1630679348657,662
1630679349319,667
1630679349986,661
1630679350647,652
1630679351299,710
1630679352009,738
1630679352747,751
1630679353498,727
1630679354225,684
1630679354909,641
1630679355550,641
1630679356191,665
1630679356856,707
1630679357563,724
1630679358287,696
1630679358983,726
1630679359709,762
1630679360471,756
1630679361227,696
1630679361923,688
1630679362611,696
1630679363307,731
1630679364038,694
1630679364732,682
1630679365414,679
1630679366093,716
1630679366809,732
1630679367541,721
1630679368262,726
1630679368988,763
1630679369751,773
1630679370524,708
1630679371232,717
1630679371949,724
1630679372673,674
1630679373347,667
1630679374014,712
1630679374726,787
1630679375513,762
1630679376275,712
1630679376987,714
1630679377701,777
1630679378478,810
1630679379288,788
1630679380076,742
1630679380818,757
1630679381575,749
1630679382324,699
1630679383023,650
1630679383673,629
1630679384302,653
1630679384955,680
1630679385635,691
1630679386326,657
1630679386983,644
1630679387627,696
1630679388323,768
1630679389091,789
1630679389880,789
1630679390669,733
1630679391402,711
1630679392113,734
1630679392847,784
1630679393631,810
1630679394441,742
1630679395183,664
1630679395847,647
1630679396494,625
1630679397119,603
1630679397722,587
1630679398309,578
1630679398887,562
1630679399449,555
1630679400004,545
1630679400549,536
1630679401085,527
1630679401612,521
1630679402133,515
1630679402648,511
1630679403159,506
1630679403665,505
1630679404170,504
1630679404674,492
1630679405166,497
1630679405663,500
1630679406163,492
1630679406655,496
1630679407151,510
1630679407661,516
1630679408177,519
1630679408696,542
1630679409238,568
1630679409806,604
1630679410410,598
1630679411008,573
1630679411581,565
1630679412146,569
1630679412715,556
1630679413271,560
1630679413831,567
1630679414398,571
1630679414969,560
1630679415529,561
1630679416090,564
1630679416654,561
1630679417215,553
1630679417768,570
1630679418338,584
1630679418922,576
1630679419498,559
1630679420057,571
1630679420628,586
1630679421214,573
1630679421787,585
1630679422372,596
1630679422968,588
1630679423556,590
1630679424146,598
1630679424744,585
1630679425329,576
1630679425905,580
1630679426485,575
1630679427060,560
1630679427620,565
1630679428185,573
1630679428758,572
1630679429330,576
1630679429906,590
