timestamp,is_clench
1630678971900,1
1630678991056,1
1630679018453,1
1630679018547,1
1630679026287,1
1630679030830,1
1630679177514,1
1630679179472,1
1630679179693,1
1630679206918,1
1630679207168,1
1630679390334,1
1630679402896,1
1630679410732,1
1630679414498,1
1630679463843,1
1630679464707,1
1630679470095,1
1630679478351,1
1630679479594,1
1630679480406,1
1630679480562,1
1630679484830,1
1630679487809,1
1630679498173,1
1630679499813,1
1630679505069,1
1630679505807,1
1630679506541,1
1630679508609,1
1630679517835,1
1630679525665,1
1630679526274,1
1630679533628,1
1630679574917,1
1630679577191,1
1630679582182,1
1630679610465,1
1630679621951,1
1630679639032,1
1630679639266,1
1630679651932,1
1630679657831,1
1630679661231,1
1630679662275,1
1630679770280,1
1630679821607,1
1630679831100,1
1630679860338,1
1630679900729,1
1630680046653,1
1630680048411,1
1630680049726,1
1630680055893,1
1630680095631,1
1630680095806,1
1630680097523,1
1630680098573,1
1630680104827,1
1630680110928,1
1630680112120,1
1630680112461,1
1630680127468,1
1630680140096,1
1630680464261,1
1630680547643,1
